WardCode,Burglary,Robbery,Sexual Offences,Violence Against the Person,AllCrime
E05000616,163,117,20,313,613
E05000617,168,121,30,383,702
E05000618,193,105,12,162,472
E05000619,284,92,7,209,592
E05000620,238,120,18,290,666
E05000621,179,72,22,314,587
E05000622,213,104,16,249,582
E05000623,280,74,11,254,619
E05000624,162,57,13,186,418
E05000625,241,60,5,156,462
E05000626,220,98,34,357,709
E05000627,187,43,12,181,423
E05000628,129,65,12,200,406
E05000629,177,70,6,150,403
E05000630,205,66,6,88,365
E05000631,307,88,9,182,586
E05000632,326,103,33,325,787
E05000633,81,46,7,155,289
E05000634,118,70,16,301,505
E05000635,160,81,7,284,532
E05000636,392,115,47,281,835
E05000637,187,67,8,164,426
E05000638,539,104,35,338,1016
E05000639,119,71,6,207,403
E05000640,146,71,8,169,394
E05000641,436,59,44,223,762
E05000642,183,59,10,307,559
E05000643,132,49,11,155,347
E05000644,785,514,123,1748,3170
E05000645,78,31,7,130,246
E05000646,70,38,8,168,284
E05000647,182,84,12,205,483
E05000648,141,95,8,318,562
E05000649,1320,637,105,1866,3928
