WardCode,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Square_Kilometres_2011,Square_Kilometres_2012,Square_Kilometres_2013,Square_Kilometres_2014,Square_Kilometres_2015,Square_Kilometres_2016,Square_Kilometres_2017,Square_Kilometres_2018,Square_Kilometres_2019,Square_Kilometres_2020,Square_Kilometres_2021,Square_Kilometres_2022,Population_per_square_kilometre_2011,Population_per_square_kilometre_2012,Population_per_square_kilometre_2013,Population_per_square_kilometre_2014,Population_per_square_kilometre_2015,Population_per_square_kilometre_2016,Population_per_square_kilometre_2017,Population_per_square_kilometre_2018,Population_per_square_kilometre_2019,Population_per_square_kilometre_2020,Population_per_square_kilometre_2021,Population_per_square_kilometre_2022
E05000123,17427,17591,17795,17902,18047,18052,18199,18278,18344,18388,18502,18608,2.957,2.957,2.957,2.957,2.957,2.957,2.957,2.957,2.957,2.957,2.957,2.957,5893.473115,5948.934731,6017.923571,6054.108894,6103.145079,6104.835982,6154.548529,6181.264795,6203.584714,6218.46466,6257.017247,6292.86439
E05000124,13727,13825,13955,14029,14132,14176,14348,14458,14558,14796,15096,15388,4.302,4.302,4.302,4.302,4.302,4.302,4.302,4.302,4.302,4.302,4.302,4.302,3190.841469,3213.621571,3243.840074,3261.041376,3284.983728,3295.21153,3335.192934,3360.762436,3384.007438,3439.330544,3509.065551,3576.940958
E05000125,15204,15376,15566,15728,15880,16101,16305,16440,16569,16662,16805,16949,3.993,3.993,3.993,3.993,3.993,3.993,3.993,3.993,3.993,3.993,3.993,3.993,3807.663411,3850.738793,3898.322064,3938.893063,3976.959679,4032.306536,4083.395943,4117.205109,4149.511645,4172.802404,4208.615076,4244.678187
E05000126,9878,9992,10086,10119,10231,10261,10340,10414,10454,10487,10542,10604,2.456,2.456,2.456,2.456,2.456,2.456,2.456,2.456,2.456,2.456,2.456,2.456,4021.986971,4068.403909,4106.677524,4120.114007,4165.716612,4177.931596,4210.09772,4240.228013,4256.514658,4269.95114,4292.345277,4317.589577
E05000127,14960,14988,15053,15057,15132,15130,15254,15261,15252,15380,15572,15775,4.413,4.413,4.413,4.413,4.413,4.413,4.413,4.413,4.413,4.413,4.413,4.413,3389.984138,3396.329028,3411.058237,3411.96465,3428.959891,3428.506685,3456.605484,3458.191706,3456.152277,3485.157489,3528.665307,3574.66576
E05000128,12710,13059,13391,13676,14027,14301,14366,14453,14523,14517,14542,14531,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,16294.87179,16742.30769,17167.94872,17533.33333,17983.33333,18334.61538,18417.94872,18529.48718,18619.23077,18611.53846,18643.58974,18629.48718
E05000129,10814,10855,11001,11256,11548,11762,12060,12277,12436,12398,12380,12337,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,10591.57689,10631.73359,10774.73066,11024.4858,11310.47992,11520.07835,11811.94907,12024.4858,12180.21548,12142.99706,12125.36729,12083.25171
E05000130,12617,12839,13010,13183,13533,13750,13846,13955,14078,14423,14763,15090,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,10820.75472,11011.14923,11157.80446,11306.17496,11606.34648,11792.45283,11874.78559,11968.26758,12073.75643,12369.63979,12661.23499,12941.68096
E05000131,11897,12104,12326,12574,12927,13136,13546,13909,14319,14331,14352,14355,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,15695.25066,15968.33773,16261.21372,16588.3905,17054.08971,17329.8153,17870.7124,18349.60422,18890.50132,18906.33245,18934.03694,18937.99472
E05000132,11748,12114,12477,12715,13066,13286,13432,13593,13711,13739,13781,13814,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,11689.55224,12053.73134,12414.92537,12651.74129,13000.99502,13219.9005,13365.17413,13525.37313,13642.78607,13670.64677,13712.43781,13745.27363
