WardCode,Year2020_Arson,Year2020_Criminal Damage,Year2020_Burglary Business and Community,Year2020_Domestic Burglary,Year2020_Drug Trafficking,Year2020_Possession of Drugs,Year2020_Dangerous Driving,Year2020_Obscene Publications,Year2020_Other Forgery,Year2020_Other Notifiable Offences,Year2020_Perverting Course of Justice,Year2020_Possession of False Documents,Year2020_Profitting From or Concealing Proceeds of Crime,Year2020_Threat or Possession With Intent to Commit Crimina,Year2020_Possession of Article with Blade or Point,Year2020_Possession of Firearm with Intent,Year2020_Possession of Firearms Offences,Year2020_Possession of Other Weapon,"Year2020_Other Offences Against the State, or Public Order",Year2020_Public Fear Alarm or Distress,"Year2020_Racially or Religiously Aggravated Public Fear, Al",Year2020_Robbery of Business Property,Year2020_Robbery of Personal Property,Year2020_Other Sexual Offences,Year2020_Rape,Year2020_Bicycle Theft,Year2020_Other Theft,Year2020_Shoplifting,Year2020_Theft from Person,Year2020_Aggravated Vehicle Taking,Year2020_Interfering with a Motor Vehicle,Year2020_Theft from a Motor Vehicle,Year2020_Theft or Taking of a Motor Vehicle,Year2020_Violence with Injury,Year2020_Violence without Injury,Year2020_Bigamy,"Year2020_Disclosure, Obstruction, False or Misleading State",Year2020_Absconding from Lawful Custody,Year2020_Bail Offences,Year2020_Perjury,Year2020_Soliciting for Prostitution,Year2021_Arson,Year2021_Criminal Damage,Year2021_Burglary Business and Community,Year2021_Domestic Burglary,Year2021_Drug Trafficking,Year2021_Possession of Drugs,Year2021_Dangerous Driving,Year2021_Obscene Publications,Year2021_Other Forgery,Year2021_Other Notifiable Offences,Year2021_Perverting Course of Justice,Year2021_Possession of False Documents,Year2021_Profitting From or Concealing Proceeds of Crime,Year2021_Threat or Possession With Intent to Commit Crimina,Year2021_Possession of Article with Blade or Point,Year2021_Possession of Firearm with Intent,Year2021_Possession of Firearms Offences,Year2021_Possession of Other Weapon,"Year2021_Other Offences Against the State, or Public Order",Year2021_Public Fear Alarm or Distress,"Year2021_Racially or Religiously Aggravated Public Fear, Al",Year2021_Robbery of Business Property,Year2021_Robbery of Personal Property,Year2021_Other Sexual Offences,Year2021_Rape,Year2021_Bicycle Theft,Year2021_Other Theft,Year2021_Shoplifting,Year2021_Theft from Person,Year2021_Aggravated Vehicle Taking,Year2021_Interfering with a Motor Vehicle,Year2021_Theft from a Motor Vehicle,Year2021_Theft or Taking of a Motor Vehicle,Year2021_Violence with Injury,Year2021_Violence without Injury,Year2021_Bigamy,"Year2021_Disclosure, Obstruction, False or Misleading State",Year2021_Absconding from Lawful Custody,Year2021_Bail Offences,Year2021_Perjury,Year2021_Soliciting for Prostitution,Year2022_Arson,Year2022_Criminal Damage,Year2022_Burglary Business and Community,Year2022_Domestic Burglary,Year2022_Drug Trafficking,Year2022_Possession of Drugs,Year2022_Dangerous Driving,Year2022_Obscene Publications,Year2022_Other Forgery,Year2022_Other Notifiable Offences,Year2022_Perverting Course of Justice,Year2022_Possession of False Documents,Year2022_Profitting From or Concealing Proceeds of Crime,Year2022_Threat or Possession With Intent to Commit Crimina,Year2022_Possession of Article with Blade or Point,Year2022_Possession of Firearm with Intent,Year2022_Possession of Firearms Offences,Year2022_Possession of Other Weapon,"Year2022_Other Offences Against the State, or Public Order",Year2022_Public Fear Alarm or Distress,"Year2022_Racially or Religiously Aggravated Public Fear, Al",Year2022_Robbery of Business Property,Year2022_Robbery of Personal Property,Year2022_Other Sexual Offences,Year2022_Rape,Year2022_Bicycle Theft,Year2022_Other Theft,Year2022_Shoplifting,Year2022_Theft from Person,Year2022_Aggravated Vehicle Taking,Year2022_Interfering with a Motor Vehicle,Year2022_Theft from a Motor Vehicle,Year2022_Theft or Taking of a Motor Vehicle,Year2022_Violence with Injury,Year2022_Violence without Injury,Year2022_Bigamy,"Year2022_Disclosure, Obstruction, False or Misleading State",Year2022_Absconding from Lawful Custody,Year2022_Bail Offences,Year2022_Perjury,Year2022_Soliciting for Prostitution
E05000026,1,121,25,39,6,303,3,15,0,3,1,1,1,4,15,0,1,13,19,88,26,8,104,22,23,13,179,210,143,2,16,79,23,206,336,NA,NA,NA,NA,NA,NA,6,156,39,55,9,331,1,4,1,0,3,1,1,5,15,2,1,13,17,120,46,9,118,45,26,28,323,267,204,2,21,83,80,250,498,NA,NA,NA,NA,NA,NA,0,41,10,18,1,99,1,2,1,0,2,0,0,3,5,0,0,8,5,43,5,4,35,10,8,8,68,49,61,0,5,32,15,62,136,NA,NA,NA,NA,NA,NA
E05000027,4,55,12,36,7,44,NA,2,NA,1,1,NA,2,4,0,NA,NA,2,11,24,11,0,27,7,4,7,40,14,15,1,12,23,34,79,157,NA,NA,NA,NA,NA,NA,6,70,15,50,4,51,NA,5,NA,3,0,NA,0,5,1,NA,NA,3,7,31,6,5,12,16,4,9,71,25,14,1,10,36,51,96,244,NA,NA,NA,NA,NA,NA,0,23,4,9,1,28,NA,2,NA,0,0,NA,0,1,0,NA,NA,0,2,7,4,0,11,6,2,1,21,5,2,1,2,6,16,22,61,NA,NA,NA,NA,NA,NA
E05000028,2,42,9,49,6,39,2,10,0,2,1,NA,0,2,1,0,2,2,8,24,11,0,24,11,7,8,60,8,13,0,8,41,41,84,222,NA,NA,NA,NA,NA,NA,1,67,12,46,7,54,1,13,1,2,1,NA,1,4,3,1,1,3,9,59,7,4,30,17,11,9,99,11,17,0,14,43,67,101,243,NA,NA,NA,NA,NA,NA,1,23,0,8,5,10,0,2,0,1,0,NA,1,1,1,0,0,1,2,6,1,1,4,3,8,0,21,3,4,1,4,12,15,29,64,NA,NA,NA,NA,NA,NA
E05000029,2,54,13,42,4,38,1,6,0,2,1,NA,2,8,5,0,0,3,7,43,10,0,19,12,10,8,50,18,6,2,20,58,28,85,152,NA,NA,NA,NA,NA,NA,6,83,10,55,8,41,2,6,2,3,3,NA,0,1,8,1,1,1,3,66,22,2,26,9,8,11,71,37,11,0,14,44,79,106,259,NA,NA,NA,NA,NA,NA,0,19,3,8,3,7,0,1,0,1,0,NA,0,1,0,0,0,0,3,12,5,0,10,4,3,1,18,5,6,1,4,13,17,24,63,NA,NA,NA,NA,NA,NA
E05000030,2,40,3,27,0,42,1,7,0,2,NA,1,NA,1,8,2,0,3,12,31,6,1,9,15,5,10,47,14,11,1,4,23,35,67,124,0,NA,NA,NA,NA,NA,1,71,5,31,3,69,0,3,1,1,NA,0,NA,1,5,2,1,2,14,43,10,1,12,21,16,10,74,8,7,0,11,20,59,104,255,1,NA,NA,NA,NA,NA,2,25,6,11,2,11,0,1,0,0,NA,0,NA,1,0,0,0,0,0,8,2,0,3,2,1,3,16,3,2,0,2,6,13,21,36,0,NA,NA,NA,NA,NA
E05000031,1,50,4,36,10,52,3,7,NA,0,NA,NA,2,6,3,1,1,4,2,19,6,2,8,8,1,6,92,12,8,0,10,45,35,79,145,NA,NA,NA,NA,NA,NA,4,69,4,51,10,53,1,10,NA,1,NA,NA,1,3,2,0,0,4,9,38,11,1,27,17,12,8,97,14,10,1,11,48,71,86,236,NA,NA,NA,NA,NA,NA,1,17,1,17,4,11,1,2,NA,0,NA,NA,0,3,0,0,0,0,1,5,3,2,3,8,3,2,22,2,5,0,4,7,16,22,68,NA,NA,NA,NA,NA,NA
E05000032,1,75,13,37,8,142,2,3,1,3,1,NA,1,1,6,NA,4,7,8,37,19,0,23,16,14,4,123,18,15,1,17,49,18,102,219,NA,NA,NA,NA,NA,NA,4,97,15,38,5,127,0,4,4,1,1,NA,0,3,3,NA,0,2,4,36,22,1,21,15,16,3,141,26,19,0,22,92,43,137,257,NA,NA,NA,NA,NA,NA,0,22,1,27,2,27,0,3,0,0,0,NA,0,1,0,NA,2,0,1,16,4,0,7,13,6,1,42,4,4,0,8,33,13,29,68,NA,NA,NA,NA,NA,NA
E05000033,0,43,4,44,7,37,0,4,0,1,0,2,1,6,2,NA,0,4,10,19,7,0,21,10,4,19,38,6,5,1,14,36,43,83,179,NA,NA,NA,NA,NA,NA,5,81,11,70,5,69,2,6,2,3,1,1,0,5,3,NA,2,2,12,38,10,2,31,13,8,14,50,11,11,3,22,57,70,100,254,NA,NA,NA,NA,NA,NA,1,22,3,12,1,8,0,4,0,1,0,0,0,1,0,NA,0,1,1,7,2,0,12,4,3,5,19,1,3,0,11,16,16,21,52,NA,NA,NA,NA,NA,NA
E05000034,7,67,3,28,11,53,NA,7,NA,0,NA,NA,1,5,4,NA,1,2,12,30,11,1,34,27,4,4,69,16,6,2,10,33,41,78,221,NA,NA,NA,NA,NA,NA,7,71,18,65,7,73,NA,8,NA,1,NA,NA,1,3,2,NA,0,1,8,56,14,1,19,29,5,11,128,15,16,2,11,45,58,107,302,NA,NA,NA,NA,NA,NA,1,14,1,14,1,19,NA,0,NA,1,NA,NA,0,2,0,NA,0,0,3,15,7,0,5,4,1,0,27,2,6,1,4,5,16,30,82,NA,NA,NA,NA,NA,NA
E05000035,2,42,3,43,10,80,1,5,2,1,NA,NA,NA,1,2,NA,0,4,8,28,6,2,34,8,4,4,48,32,16,0,11,43,29,61,151,NA,NA,NA,NA,NA,NA,1,49,10,58,7,70,0,6,1,0,NA,NA,NA,1,5,NA,1,1,13,34,9,0,38,24,8,5,57,55,16,1,14,54,62,79,214,NA,NA,NA,NA,NA,NA,0,10,0,10,3,27,0,1,0,0,NA,NA,NA,1,0,NA,0,0,1,6,3,0,11,1,2,0,18,5,5,0,2,8,16,16,42,NA,NA,NA,NA,NA,NA
E05000036,1,45,4,32,6,48,NA,5,0,0,1,1,1,8,4,2,NA,6,8,28,9,2,28,7,10,8,36,20,5,2,8,26,52,68,153,NA,NA,NA,NA,NA,NA,4,71,4,46,3,54,NA,10,0,2,0,0,0,3,3,0,NA,4,6,38,15,1,33,12,7,8,66,20,16,2,6,33,55,72,222,NA,NA,NA,NA,NA,NA,1,17,7,12,1,15,NA,1,2,0,0,0,0,2,1,0,NA,0,5,7,4,0,12,4,4,1,26,10,4,0,3,6,22,28,65,NA,NA,NA,NA,NA,NA
E05000037,2,38,5,26,0,27,0,5,0,0,1,1,NA,1,0,NA,0,1,5,27,7,1,19,14,7,3,25,13,4,1,5,13,45,64,151,NA,NA,NA,NA,NA,NA,7,55,9,47,5,39,1,8,1,2,1,0,NA,7,2,NA,1,1,9,28,10,3,21,14,8,4,56,35,11,2,10,34,51,76,208,NA,NA,NA,NA,NA,NA,0,16,3,9,0,5,0,3,0,1,1,0,NA,0,0,NA,1,1,0,7,1,2,8,3,1,0,14,14,2,0,6,6,10,17,49,NA,NA,NA,NA,NA,NA
E05000038,1,59,15,34,4,54,NA,5,0,0,1,1,1,2,3,NA,1,4,6,34,6,3,19,18,6,10,64,7,21,1,8,35,47,85,183,0,NA,NA,NA,NA,NA,3,104,12,65,8,60,NA,9,3,2,1,0,1,8,3,NA,1,2,5,47,10,3,22,25,12,15,106,6,22,0,23,64,92,113,239,1,NA,NA,NA,NA,NA,0,15,6,12,4,19,NA,2,0,1,0,0,0,2,2,NA,0,0,2,10,10,0,7,9,4,2,30,3,6,0,6,23,12,36,77,0,NA,NA,NA,NA,NA
E05000039,1,74,50,38,6,76,1,6,1,1,2,NA,2,2,1,1,2,4,11,60,13,4,25,13,13,22,106,63,16,2,24,94,92,102,267,NA,NA,NA,NA,NA,NA,3,113,45,52,7,79,2,11,3,2,0,NA,1,3,5,0,0,4,10,81,20,3,29,32,13,24,131,75,28,1,21,126,135,186,354,NA,NA,NA,NA,NA,NA,0,26,7,14,3,16,1,2,0,0,0,NA,0,2,0,0,0,0,0,12,4,2,10,4,5,3,33,23,7,1,8,27,27,30,98,NA,NA,NA,NA,NA,NA
E05000040,2,37,11,20,2,26,1,6,0,1,1,NA,NA,2,2,1,NA,3,5,21,12,2,11,10,3,9,79,8,6,1,6,20,40,58,140,NA,0,NA,NA,NA,NA,2,52,11,66,2,33,0,6,1,2,2,NA,NA,9,2,1,NA,4,9,49,8,1,17,14,7,7,107,5,7,0,13,38,58,82,216,NA,1,NA,NA,NA,NA,0,18,1,16,1,13,0,3,0,0,0,NA,NA,0,1,0,NA,0,1,6,1,0,5,3,0,0,34,3,2,0,1,5,18,15,47,NA,0,NA,NA,NA,NA
E05000041,2,52,7,40,3,54,1,5,1,0,0,0,0,3,1,2,0,5,5,31,10,4,21,6,5,10,59,84,9,2,8,34,48,96,223,1,NA,NA,NA,NA,NA,3,72,14,53,4,79,1,5,1,3,1,1,1,1,5,0,0,5,5,45,12,2,26,17,15,4,101,77,21,0,9,38,60,94,256,0,NA,NA,NA,NA,NA,1,17,5,13,3,22,0,1,0,1,0,0,0,1,1,0,1,1,1,10,2,1,7,3,5,2,21,12,8,0,3,5,16,30,70,0,NA,NA,NA,NA,NA
E05000042,2,68,22,28,7,32,1,7,2,1,1,0,NA,1,3,0,0,2,15,38,11,1,20,9,5,12,60,18,10,1,11,36,47,79,181,NA,NA,NA,NA,NA,NA,1,78,25,55,5,60,0,5,0,3,2,1,NA,3,1,0,3,4,7,64,20,5,22,9,11,5,69,37,10,3,5,42,80,119,249,NA,NA,NA,NA,NA,NA,1,16,15,7,1,16,0,2,0,0,0,0,NA,0,1,1,0,3,1,12,5,2,5,5,3,2,27,8,1,0,7,21,22,20,65,NA,NA,NA,NA,NA,NA
E05000043,2,46,7,57,8,15,NA,4,0,NA,NA,NA,NA,2,0,0,1,1,6,26,9,6,22,6,4,4,43,65,3,0,20,84,44,53,124,NA,NA,NA,NA,NA,NA,0,47,13,66,3,22,NA,14,1,NA,NA,NA,NA,1,4,3,0,1,9,49,7,4,11,27,8,3,83,124,6,2,19,125,53,76,181,NA,NA,NA,NA,NA,NA,0,10,8,22,2,2,NA,4,1,NA,NA,NA,NA,1,0,0,0,0,1,11,4,1,4,1,2,0,18,13,1,0,10,29,25,13,40,NA,NA,NA,NA,NA,NA
E05000044,4,74,18,52,6,78,2,6,1,1,0,NA,NA,1,1,1,0,5,11,35,7,2,20,24,21,9,74,10,11,0,14,74,35,141,242,NA,NA,0,NA,NA,NA,6,107,31,75,4,100,0,12,0,2,3,NA,NA,7,5,0,2,3,18,78,18,1,31,30,26,17,116,16,29,4,33,142,45,198,443,NA,NA,1,NA,NA,NA,0,29,8,26,6,26,0,8,0,1,1,NA,NA,0,1,0,0,5,2,18,3,1,5,12,2,2,37,6,5,2,6,24,16,40,99,NA,NA,0,NA,NA,NA
E05000045,1,105,27,116,7,65,1,18,0,5,1,1,4,3,3,1,1,4,5,75,26,8,29,19,13,15,154,97,36,3,43,207,50,120,293,NA,NA,NA,NA,NA,NA,8,127,43,161,16,44,1,4,3,2,0,2,1,9,4,2,2,2,20,123,49,4,45,30,20,33,209,99,58,0,47,208,62,171,391,NA,NA,NA,NA,NA,NA,2,29,15,25,3,8,0,2,1,0,0,0,1,1,0,0,1,3,5,26,8,2,7,4,7,3,74,23,23,0,9,69,26,46,74,NA,NA,NA,NA,NA,NA
E05000046,2,97,26,137,2,110,0,9,3,3,0,0,0,3,2,0,0,7,19,85,29,5,33,15,14,35,137,40,9,1,27,131,48,172,345,NA,NA,NA,NA,NA,NA,3,166,42,149,17,106,1,10,2,2,1,0,6,2,8,1,1,3,52,113,31,2,20,33,30,30,247,33,29,1,41,196,72,217,530,NA,NA,NA,NA,NA,NA,2,23,16,60,4,41,0,4,0,0,0,1,1,2,1,0,1,2,10,34,6,2,12,9,15,6,56,17,7,1,11,50,20,38,125,NA,NA,NA,NA,NA,NA
E05000047,5,62,14,71,4,31,3,0,1,2,1,1,2,4,2,2,1,4,5,60,15,6,25,13,9,13,325,35,8,3,23,157,34,89,211,NA,NA,NA,NA,NA,NA,3,89,26,66,9,27,0,13,0,2,1,0,1,2,3,0,1,4,6,81,25,6,25,18,6,12,105,52,20,0,23,163,67,125,300,NA,NA,NA,NA,NA,NA,1,18,10,17,8,6,0,1,0,0,0,0,0,1,1,0,0,0,3,17,2,1,12,7,6,3,31,11,11,0,9,28,15,24,71,NA,NA,NA,NA,NA,NA
E05000048,1,63,13,38,5,19,1,4,1,2,NA,NA,1,2,2,2,NA,2,4,45,9,4,26,5,5,7,57,63,4,NA,24,103,41,56,150,NA,NA,NA,NA,NA,NA,2,71,11,71,2,28,0,13,1,1,NA,NA,0,7,4,0,NA,3,7,58,16,7,22,19,8,6,74,101,18,NA,30,161,74,66,250,NA,NA,NA,NA,NA,NA,2,22,2,12,1,1,0,8,0,0,NA,NA,0,0,0,0,NA,0,0,7,1,3,3,1,4,1,29,50,1,NA,11,32,15,20,51,NA,NA,NA,NA,NA,NA
E05000049,1,52,14,50,2,22,1,3,1,1,1,0,NA,4,0,1,NA,3,3,41,8,2,14,7,5,11,57,20,13,1,15,95,28,48,147,NA,NA,NA,NA,NA,NA,6,71,22,83,4,28,0,3,0,2,0,0,NA,4,1,0,NA,0,5,56,16,4,22,20,11,17,83,11,17,0,12,99,52,75,231,NA,NA,NA,NA,NA,NA,0,19,5,27,2,6,0,0,0,0,1,1,NA,0,0,0,NA,0,1,17,2,0,6,3,1,3,27,3,13,0,7,24,14,25,63,NA,NA,NA,NA,NA,NA
E05000050,0,78,38,69,4,38,1,8,2,1,NA,2,1,3,2,1,2,7,3,45,16,4,33,19,10,11,112,68,32,1,15,109,51,74,173,NA,NA,NA,NA,NA,NA,3,90,22,59,3,43,0,10,1,0,NA,2,2,4,1,0,0,2,5,81,35,4,30,41,10,19,181,80,90,1,21,217,61,118,296,NA,NA,NA,NA,NA,NA,0,26,16,15,2,10,0,4,1,1,NA,0,0,1,0,0,0,1,3,15,1,1,14,8,3,2,49,23,39,1,9,75,17,24,51,NA,NA,NA,NA,NA,NA
E05000051,3,37,12,88,3,16,NA,3,0,0,0,1,0,4,0,NA,NA,1,3,29,16,1,6,5,2,6,44,23,4,1,17,98,41,35,109,NA,NA,NA,NA,NA,NA,1,58,19,118,10,27,NA,12,1,1,1,0,2,1,2,NA,NA,0,6,42,13,4,30,14,7,12,66,15,7,1,25,116,57,76,194,NA,NA,NA,NA,NA,NA,1,17,4,32,1,4,NA,0,0,0,0,0,0,0,1,NA,NA,0,2,12,5,1,0,4,1,1,26,8,5,0,9,47,14,17,41,NA,NA,NA,NA,NA,NA
E05000052,NA,61,25,96,4,32,2,4,NA,1,NA,NA,0,1,2,NA,0,5,4,26,12,1,29,9,7,14,96,19,11,0,31,104,48,52,141,NA,NA,NA,NA,NA,NA,NA,72,21,89,2,19,0,7,NA,1,NA,NA,1,3,1,NA,1,3,13,60,25,1,38,24,5,16,101,36,18,0,16,155,91,42,172,NA,NA,NA,NA,NA,NA,NA,12,6,24,1,3,0,2,NA,0,NA,NA,0,1,0,NA,0,0,2,22,4,0,3,9,0,3,40,3,3,1,15,53,24,18,54,NA,NA,NA,NA,NA,NA
E05000053,0,70,19,100,5,45,0,5,0,2,0,NA,NA,2,5,1,NA,4,2,35,21,4,20,10,10,21,94,42,10,1,20,131,49,92,219,NA,NA,NA,NA,NA,NA,3,103,14,125,9,42,2,4,2,1,1,NA,NA,3,8,0,NA,1,8,76,25,6,15,17,12,26,158,63,20,0,25,181,67,119,314,NA,NA,NA,NA,NA,NA,0,22,6,25,5,4,0,4,0,0,1,NA,NA,1,1,0,NA,0,2,7,3,2,1,7,1,5,40,17,13,1,7,52,10,22,63,NA,NA,NA,NA,NA,NA
E05000054,0,45,7,46,3,28,NA,5,NA,NA,0,NA,0,2,2,1,NA,1,6,37,6,0,6,8,2,11,59,8,5,NA,23,67,39,73,146,NA,0,NA,NA,NA,NA,5,59,8,90,5,37,NA,16,NA,NA,2,NA,1,2,1,0,NA,2,7,41,7,5,15,19,9,13,73,21,8,NA,22,142,49,69,198,NA,1,NA,NA,NA,NA,0,17,10,29,9,1,NA,5,NA,NA,0,NA,1,0,0,0,NA,1,1,3,5,0,1,8,1,1,20,1,2,NA,5,29,17,8,49,NA,0,NA,NA,NA,NA
E05000055,3,65,37,82,5,56,0,9,NA,3,NA,0,1,2,2,NA,2,5,6,42,21,3,32,21,11,13,75,44,10,NA,17,91,29,98,213,0,NA,NA,NA,NA,NA,5,90,41,136,13,53,0,11,NA,1,NA,2,0,1,7,NA,2,2,12,70,22,2,30,30,17,21,149,41,16,NA,23,124,49,111,334,1,NA,NA,NA,NA,NA,0,25,14,33,3,15,1,2,NA,0,NA,0,0,2,0,NA,0,0,7,24,11,0,6,3,2,4,30,9,7,NA,7,35,16,44,102,0,NA,NA,NA,NA,NA
E05000056,1,55,21,64,4,25,NA,3,0,1,NA,NA,2,4,0,NA,1,NA,7,38,19,1,22,9,5,12,79,34,20,1,19,76,23,66,149,NA,NA,NA,NA,NA,NA,3,69,26,61,4,13,NA,6,1,5,NA,NA,0,5,2,NA,1,NA,10,82,17,1,29,26,4,10,110,46,45,1,16,85,54,80,222,NA,NA,NA,NA,NA,NA,0,16,5,12,2,2,NA,3,0,0,NA,NA,0,0,0,NA,1,NA,0,18,0,2,6,4,3,1,55,13,12,0,3,20,13,17,51,NA,NA,NA,NA,NA,NA
E05000057,2,62,27,81,8,41,1,4,0,0,1,NA,0,2,3,1,NA,2,4,36,8,3,21,11,5,5,133,53,6,1,27,96,52,64,193,NA,NA,NA,NA,NA,NA,0,72,38,98,4,32,0,6,1,3,0,NA,1,5,0,0,NA,2,8,63,18,6,21,18,13,10,188,68,18,0,18,139,86,78,257,NA,NA,NA,NA,NA,NA,0,24,25,16,4,9,0,1,0,0,0,NA,0,1,2,1,NA,3,1,12,4,2,7,12,2,4,44,28,3,0,3,44,22,23,54,NA,NA,NA,NA,NA,NA
E05000058,2,79,19,91,3,25,0,0,0,2,0,NA,1,2,2,NA,0,0,4,37,8,5,14,9,3,4,47,70,12,2,21,92,56,56,162,NA,NA,NA,NA,NA,NA,0,49,14,56,4,18,2,5,1,3,1,NA,1,0,2,NA,1,2,7,46,8,1,26,4,10,6,72,112,8,1,20,129,73,60,190,NA,NA,NA,NA,NA,NA,2,16,3,14,2,1,0,3,1,0,0,NA,0,0,0,NA,0,1,2,8,1,0,6,4,2,1,12,0,3,0,5,23,19,16,51,NA,NA,NA,NA,NA,NA
E05000059,1,29,12,59,2,20,NA,3,1,0,NA,1,NA,1,0,NA,0,1,5,23,3,1,14,13,1,7,49,14,10,2,13,71,44,45,94,NA,NA,NA,NA,NA,NA,0,51,13,40,3,18,NA,2,0,2,NA,0,NA,1,2,NA,2,0,13,26,11,0,13,11,6,6,78,12,8,0,10,83,55,58,117,NA,NA,NA,NA,NA,NA,0,19,11,16,4,2,NA,2,0,0,NA,0,NA,0,0,NA,0,0,0,11,2,0,7,5,1,3,14,4,2,0,5,21,13,17,28,NA,NA,NA,NA,NA,NA
E05000060,2,61,4,63,4,23,0,3,NA,0,NA,NA,1,4,3,NA,0,2,4,42,11,NA,14,12,11,5,87,10,2,1,13,82,28,68,199,NA,NA,0,NA,NA,NA,2,61,3,64,5,23,2,3,NA,1,NA,NA,0,5,0,NA,1,3,10,34,16,NA,12,16,8,7,82,9,7,1,16,108,43,79,269,NA,NA,1,NA,NA,NA,0,10,1,6,1,4,0,1,NA,0,NA,NA,0,3,0,NA,0,0,0,7,2,NA,13,1,2,1,25,1,4,0,5,17,9,26,46,NA,NA,0,NA,NA,NA
E05000061,7,49,10,61,6,22,NA,2,NA,2,NA,0,1,2,2,NA,1,2,7,27,12,5,27,15,4,16,56,25,21,3,12,71,32,71,155,NA,NA,NA,NA,NA,NA,4,63,20,72,8,50,NA,1,NA,1,NA,3,1,3,5,NA,1,2,10,46,19,1,36,25,8,11,124,49,36,0,15,125,33,93,217,NA,NA,NA,NA,NA,NA,1,19,7,16,1,7,NA,2,NA,2,NA,0,0,3,0,NA,0,1,1,20,7,1,4,8,3,2,26,30,16,0,3,30,6,35,57,NA,NA,NA,NA,NA,NA
E05000062,1,78,21,73,4,70,0,5,2,1,2,1,1,3,2,NA,0,2,15,95,27,6,34,18,4,14,124,264,91,0,41,174,58,122,237,NA,NA,NA,NA,NA,NA,3,124,25,94,14,104,2,4,0,2,0,1,2,7,6,NA,0,3,19,107,34,4,28,38,19,32,187,338,112,1,62,227,86,152,309,NA,NA,NA,NA,NA,NA,1,41,11,18,4,29,0,3,1,0,1,0,0,0,1,NA,1,2,1,14,7,0,11,9,3,4,54,39,37,1,19,53,18,37,69,NA,NA,NA,NA,NA,NA
E05000063,4,76,19,70,9,47,0,3,1,2,0,1,1,0,3,NA,0,2,5,61,21,5,35,8,8,5,96,42,26,2,15,77,33,77,198,NA,NA,NA,NA,NA,NA,2,79,24,87,4,64,1,3,0,2,1,0,0,6,3,NA,1,3,8,66,23,6,38,19,7,10,148,64,42,1,14,160,57,111,250,NA,NA,NA,NA,NA,NA,1,29,9,28,2,9,0,0,0,0,0,0,0,0,2,NA,0,1,2,19,6,2,13,5,4,5,46,5,15,0,3,30,16,22,74,NA,NA,NA,NA,NA,NA
E05011217,5,41,3,14,3,16,NA,0,NA,NA,0,NA,0,3,NA,NA,NA,0,2,18,4,0,7,7,10,2,16,12,0,0,7,22,15,37,94,NA,NA,NA,NA,NA,NA,0,55,8,15,3,17,NA,11,NA,NA,1,NA,1,6,NA,NA,NA,2,3,35,11,1,0,18,5,4,25,9,3,2,14,37,28,44,125,NA,NA,NA,NA,NA,NA,1,10,2,5,1,3,NA,2,NA,NA,1,NA,0,1,NA,NA,NA,0,1,6,1,0,1,7,0,1,6,2,1,0,3,6,12,17,31,NA,NA,NA,NA,NA,NA
E05011218,8,87,18,37,4,55,1,5,NA,4,3,1,NA,1,2,NA,1,1,24,54,16,4,17,24,10,2,57,59,5,3,23,81,41,108,247,NA,NA,NA,NA,NA,NA,3,123,27,59,5,75,0,5,NA,2,2,0,NA,8,4,NA,2,1,12,78,39,6,12,19,13,6,107,58,12,2,15,79,72,139,317,NA,NA,NA,NA,NA,NA,3,25,6,15,1,8,0,0,NA,1,0,0,NA,0,0,NA,0,1,0,14,8,1,8,5,7,1,36,6,1,0,11,17,15,34,86,NA,NA,NA,NA,NA,NA
E05011219,3,76,17,25,2,63,1,2,0,0,1,1,1,4,8,NA,1,4,20,64,28,4,17,6,5,6,109,66,23,2,14,53,25,92,182,NA,NA,NA,NA,NA,NA,3,114,23,25,4,147,0,5,1,1,1,3,0,8,9,NA,0,7,28,80,35,3,26,26,11,8,146,172,85,0,6,42,38,176,282,NA,NA,NA,NA,NA,NA,0,38,9,12,1,32,0,1,0,1,0,1,0,1,0,NA,0,0,7,24,13,2,5,6,6,1,53,50,29,0,3,9,9,50,90,NA,NA,NA,NA,NA,NA
E05011220,7,39,6,14,3,33,1,6,1,0,0,NA,NA,0,1,NA,NA,0,3,37,3,3,12,7,6,1,22,61,3,1,7,36,23,44,117,NA,NA,NA,NA,NA,NA,5,62,11,29,2,29,0,5,4,1,1,NA,NA,4,0,NA,NA,2,3,39,6,7,1,19,5,6,34,50,0,1,10,38,37,49,157,NA,NA,NA,NA,NA,NA,0,17,2,5,0,6,0,2,0,0,0,NA,NA,0,0,NA,NA,0,0,9,2,1,2,6,1,1,6,22,0,0,3,3,8,13,40,NA,NA,NA,NA,NA,NA
E05011221,2,35,3,21,2,15,NA,0,NA,0,2,NA,NA,0,1,NA,NA,1,2,23,6,5,4,6,1,2,24,45,0,3,16,44,32,44,88,NA,NA,NA,NA,NA,NA,0,69,9,26,0,22,NA,1,NA,1,0,NA,NA,2,0,NA,NA,1,8,28,4,2,3,11,4,3,73,74,2,1,15,58,38,72,146,NA,NA,NA,NA,NA,NA,0,18,0,11,1,3,NA,0,NA,0,0,NA,NA,3,0,NA,NA,0,0,5,1,0,0,1,2,0,34,28,1,0,6,15,10,13,39,NA,NA,NA,NA,NA,NA
